"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C4","3","1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"C3","1","1kuF","","","","Capacitor_THT:CP_Radial_D13.0mm_P5.00mm","~"
"C5,C6,C7,C8,C9,C10,C11","7","0.1uF","","","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","~"
"D1,D3,D5,D6","4","D","","","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","~"
"D2,D4","2","D","","","","Diode_SMD:D_SMB_Handsoldering","~"
"D7","1","D_Schottky","","","","Diode_SMD:D_SMB_Handsoldering","~"
"D8,D9,D10","3","LED","","","","LED_THT:LED_D5.0mm","~"
"F1,F2,F3,F4,F5,F6,F7,F8","8","Fuse_Small","","","","EM27Footprints:FUSE_5x20","~"
"H1,H2,H3,H4,H5,H6","6","MountingHole_Pad","","Excluded from BOM","","MountingHole:MountingHole_3.2mm_M3_Pad","~"
"J1,J2,J3,J4,J7,J8,J9,J10,J11","9","Screw_Terminal_01x02","","","","EM27Footprints:KobiConn_5.08mm-2pos-35deg_screwterminal","~"
"J5,J6","2","Screw_Terminal_01x03","","","","EM27Footprints:Molex_Barrier_Term_Block-8.26mm-3pos","~"
"K1","1","Relay_DPDT","","","","EM27Footprints:J114FL2CS85VDC41","~"
"Q1,Q2,Q3,Q4","4","PZTA42","","","","Package_TO_SOT_SMD:SOT-223-3_TabPin2","https://www.onsemi.com/pub/Collateral/PZTA42T1-D.PDF"
"R1,R7,R9,R12,R14,R16","6","0","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R3,R4,R5","3","100k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R6,R8","2","5M","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R10","1","100","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"R11,R13,R15","3","10k","","","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","~"
"SW1,SW2","2","SW_Push","","","","EM27Footprints:KobiConn_5.08mm-2pos-35deg_screwterminal","~"
"T1","1","Transformer_1P_2S","","","","EM27Footprints:F12-090-C2","~"
"U1,U2","2","74AHCT1G86","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U3","1","74AHCT1G08","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
"U4","1","MCP1700x-500xxTT","","","","Package_TO_SOT_SMD:SOT-23","http://ww1.microchip.com/downloads/en/DeviceDoc/20001826D.pdf"
"U5","1","L7805","","","","Package_TO_SOT_SMD:TO-263-3_TabPin2","http://www.st.com/content/ccc/resource/technical/document/datasheet/41/4f/b3/b0/12/d4/47/88/CD00000444.pdf/files/CD00000444.pdf/jcr:content/translations/en.CD00000444.pdf"
"U6,U7","2","74AHCT1G00","","","","Package_TO_SOT_SMD:SOT-23-5_HandSoldering","http://www.ti.com/lit/sg/scyt129e/scyt129e.pdf"
